Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
530330001011,2018,0.9019607843137255,0.09803921568627451,0,0.0,0.0,0
530330001012,2018,0.22666666666666666,0.7733333333333333,0,0.0,0.0,0
530330001013,2018,1.0,0.0,0,0.0,0.0,0
530330001021,2018,1.0,0.0,0,0.0,0.0,0
530330001022,2018,1.0,0.0,0,0.0,0.0,0
530330001023,2018,0.12830188679245283,0.8716981132075472,0,0.0,0.0,0
530330002011,2018,0.6984924623115578,0.3015075376884422,0,0.0,0.0,0
530330002012,2018,0.6673553719008265,0.33264462809917356,0,0.0,0.0,0
530330002013,2018,0.741424802110818,0.25857519788918204,0,0.0,0.0,0
530330002021,2018,0.974155069582505,0.02584493041749503,0,0.0,0.0,0
530330002022,2018,0.9236641221374046,0.07633587786259542,0,0.0,0.0,0
530330002023,2018,1.0,0.0,0,0.0,0.0,0
530330003001,2018,1.0,0.0,0,0.0,0.0,0
530330003002,2018,0.9783037475345168,0.021696252465483234,0,0.0,0.0,0
530330004021,2018,0.9926470588235294,0.007352941176470588,0,0.0,0.0,0
530330004022,2018,0.8426501035196687,0.15734989648033126,0,0.0,0.0,0
530330004023,2018,0.8151041666666666,0.18489583333333334,0,0.0,0.0,0
530330004024,2018,0.7931034482758621,0.20689655172413793,0,0.0,0.0,0
530330004031,2018,0.9202127659574468,0.0797872340425532,0,0.0,0.0,0
530330004032,2018,0.21765913757700206,0.7823408624229979,0,0.0,0.0,0
530330004041,2018,0.35348837209302325,0.6465116279069767,0,0.0,0.0,0
530330004042,2018,0.6633663366336634,0.33663366336633666,0,0.0,0.0,0
530330004043,2018,0.0,0.0,0,0.0,0.0,0
530330005001,2018,1.0,0.0,0,0.0,0.0,0
530330005002,2018,1.0,0.0,0,0.0,0.0,0
530330006011,2018,0.8558558558558559,0.14414414414414414,0,0.0,0.0,0
530330006012,2018,1.0,0.0,0,0.0,0.0,0
530330006013,2018,0.9604221635883905,0.0395778364116095,0,0.0,0.0,0
530330006021,2018,0.9475982532751092,0.05240174672489083,0,0.0,0.0,0
530330006022,2018,1.0,0.0,0,0.0,0.0,0
530330006023,2018,0.696969696969697,0.30303030303030304,0,0.0,0.0,0
530330007001,2018,0.8819095477386935,0.11809045226130653,0,0.0,0.0,0
530330007002,2018,1.0,0.0,0,0.0,0.0,0
530330007003,2018,0.25868725868725867,0.7413127413127413,0,0.0,0.0,0
530330007004,2018,0.7366412213740458,0.2633587786259542,0,0.0,0.0,0
530330008001,2018,1.0,0.0,0,0.0,0.0,0
530330008002,2018,1.0,0.0,0,0.0,0.0,0
530330009001,2018,1.0,0.0,0,0.0,0.0,0
530330009002,2018,1.0,0.0,0,0.0,0.0,0
530330010001,2018,0.9919354838709677,0.008064516129032258,0,0.0,0.0,0
